ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
148 REDSTONE VI NE,RSN,REDSTONE,RE,Residential,2013,LI,51.1686951,-113.9694893,363.1,3908.0,803500
123 COPPERLEAF WY SE,CPF,COPPERFIELD,RE,Residential,2019,LI,50.9109591,-113.9288005,361.3,3889.0,628000
382V 70 SAGE HILL WK NW,SGH,SAGE HILL,RE,Residential,2023,LI,51.1707161,-114.1509422,3330.0,35845.0,10000
43 EVANSVIEW PA NW,EVN,EVANSTON,RE,Residential,2013,LI,51.1702067,-114.1200199,446.1,4802.0,856000
6 3620 29 ST NE,HOR,HORIZON,NR,Non-residential,1981,LI,51.0852414,-113.9902464,9816.0,105662.0,369000
58 MARTIN CROSSING CL NE,MRT,MARTINDALE,RE,Residential,1997,LI,51.119102,-113.9598286,283.8,3055.0,550500
804 683 10 ST SW,DNW,DOWNTOWN WEST END,RE,Residential,2001,LI,51.0472792,-114.0866754,12781.6,137584.0,245500
117 LEGACY GLEN ST SE,LEG,LEGACY,RE,Residential,2017,LI,50.8578276,-114.0031571,285.5,3073.0,584500
436V 211 13 AV SE,BLN,BELTLINE,RE,Residential,2010,LI,51.0398951,-114.0607103,3484.8,37512.0,25000
79 SKYVIEW SHORES RD NE,SKR,SKYVIEW RANCH,RE,Residential,2013,LI,51.1553196,-113.9677457,472.2,5083.0,768500
63 CASTLERIDGE CL NE,CAS,CASTLERIDGE,RE,Residential,1984,LI,51.1092427,-113.9535345,408.6,4398.0,535000
39 EVERSYDE CM SW,EVE,EVERGREEN,RE,Residential,2004,LI,50.9087613,-114.1117782,130.0,1399.0,416500
2841B 39 ST SW,GBK,GLENBROOK,RE,Residential,2008,LI,51.0273955,-114.1441423,278.7,3000.0,836500
2155V 7451 SPRINGBANK BV SW,SPH,SPRINGBANK HILL,RE,Residential,2000,LI,51.0168441,-114.1952559,5790.0,62323.0,10000
2215 36 ST SE,SOV,SOUTHVIEW,RE,Residential,1958,LI,51.0340758,-113.981796,535.4,5763.0,455000
355 SAVANNA PA NE,SAD,SADDLE RIDGE,RE,Residential,2020,LI,51.1378189,-113.9673146,358.9,3863.0,975000
5012 DALHOUSIE DR NW,DAL,DALHOUSIE,RE,Residential,1970,LI,51.1072603,-114.159039,320.8,3453.0,552000
83 GLADSTONE GD SW,GLA,GLAMORGAN,RE,Residential,1989,LI,51.013051,-114.1599032,18450.0,198594.0,525500
156V 1000 LAKE FRASER GR SE,LKB,LAKE BONAVISTA,RE,Residential,2002,LI,50.9454865,-114.0668972,6160.0,66308.0,10000
310 123 4 ST NE,CRE,CRESCENT HEIGHTS,RE,Residential,2019,LI,51.0531545,-114.0523124,873.1,9398.0,268500
1929 3 AV NW,WHL,WEST HILLHURST,RE,Residential,2021,LI,51.0549511,-114.1040885,481.5,5183.0,2270000
20709 MAIN ST SE,SET,SETON,RE,Residential,2022,LI,50.8665194,-113.9463468,250.8,2700.0,604000
1734 17 AV SW,SCA,SCARBORO,RE,Residential,1946,LI,51.0382818,-114.1021401,592.8,6381.0,620000
115 EDGELAND RD NW,EDG,EDGEMONT,RE,Residential,2015,LI,51.1255555,-114.1601366,666.9,7179.0,1450000
8522 21 AV SE,BVD,BELVEDERE,RE,Residential,2022,LI,51.0345814,-113.9105697,105.4,1135.0,492000
1114 70 PANAMOUNT DR NW,PAN,PANORAMA HILLS,RE,Residential,2003,LI,51.1581262,-114.0719312,2712.2,29195.0,309000
90 CRANFIELD CR SE,CRA,CRANSTON,RE,Residential,2001,LI,50.8910252,-113.9829082,391.8,4218.0,660500
6216 15 SAGE MEADOWS LD NW,SGH,SAGE HILL,RE,Residential,2022,LI,51.1794107,-114.133112,14605.7,157220.0,389000
35 TARAWOOD RD NE,TAR,TARADALE,RE,Residential,2003,LI,51.1220971,-113.9379899,279.0,3003.0,591500
19585 SHERIFF KING ST SW,YKV,YORKVILLE,RE,Residential,2018,LI,50.8753816,-114.0714365,133.9,1441.0,501000
124 3219 56 ST NE,PIN,PINERIDGE,RE,Residential,1976,LI,51.0800029,-113.9531742,13637.8,146796.0,382000
21 TARALEA CI NE,TAR,TARADALE,RE,Residential,2005,LI,51.1145954,-113.9361634,299.3,3221.0,558500
2601 211 13 AV SE,BLN,BELTLINE,RE,Residential,2010,LI,51.0398951,-114.0607103,3484.8,37512.0,310000
26 EVERGREEN PR SW,EVE,EVERGREEN,RE,Residential,2011,LI,50.9208155,-114.1078134,457.2,4921.0,1230000
1715 110 AV SW,BRA,BRAESIDE,RE,Residential,1967,LI,50.9542565,-114.099528,520.3,5601.0,535000
7308 70 PANAMOUNT DR NW,PAN,PANORAMA HILLS,RE,Residential,2004,LI,51.1582312,-114.0712871,2484.0,26738.0,323500
267 SILVERADO DR SW,SVO,SILVERADO,RE,Residential,2007,LI,50.8809165,-114.0768991,312.3,3362.0,645500
236 222 RIVERFRONT AV SW,CHN,CHINATOWN,RE,Residential,2008,LI,51.0528944,-114.0673454,199.1,2143.0,332000
608 MALVERN WY NE,MPK,MARLBOROUGH PARK,RE,Residential,1976,LI,51.0560022,-113.9374275,427.2,4598.0,503500
396 EVERGLADE CI SW,EVE,EVERGREEN,RE,Residential,2006,LI,50.9224891,-114.1257858,611.5,6582.0,966500
416 200 AUBURN MEADOWS CM SE,AUB,AUBURN BAY,RE,Residential,2017,LI,50.8920848,-113.9448826,3408.7,36692.0,478000
108 455 1 AV NE,CRE,CRESCENT HEIGHTS,RE,Residential,2021,LI,51.0529695,-114.0523125,1359.1,14630.0,281000
206 SILVERADO SKIES CM SW,SVO,SILVERADO,RE,Residential,2016,LI,50.8871166,-114.0807014,93.9,1011.0,462500
720 94 AV SE,ACA,ACADIA,RE,Residential,1962,LI,50.9688781,-114.0467626,510.5,5495.0,658500
223 8948B ELBOW DR SW,HAY,HAYSBORO,RE,Residential,1971,LI,50.9732976,-114.0826022,16066.0,172933.0,194500
166 SHANNON CR SW,SHN,SHAWNESSY,RE,Residential,1989,LI,50.909484,-114.088667,484.5,5216.0,639000
119 ROYAL RD NW,ROY,ROYAL OAK,RE,Residential,2003,LI,51.138541,-114.229102,553.3,5956.0,808000
431 6 AV SE,DNE,DOWNTOWN EAST VILLAGE,NR,Non-residential,1947,LI,51.0463472,-114.0538926,5710.0,61464.0,11370000
31 WOODLARK DR SW,WLD,WILDWOOD,RE,Residential,1957,LI,51.0553073,-114.1541694,695.6,7488.0,1030000
210 201 20 AV NE,TUX,TUXEDO PARK,RE,Residential,2011,LI,51.0705385,-114.0590418,2030.3,21855.0,413000
114 CITYSCAPE WY NE,CSC,CITYSCAPE,RE,Residential,2016,LI,51.1495978,-113.9622947,252.7,2720.0,716000
77 CRAMOND CL SE,CRA,CRANSTON,RE,Residential,2001,LI,50.894427,-113.9817755,298.5,3213.0,522000
804 3500 VARSITY DR NW,VAR,VARSITY,RE,Residential,1976,LI,51.0885181,-114.1395245,65652.9,706681.0,383000
602 733 14 AV SW,BLN,BELTLINE,RE,Residential,1967,LI,51.0398545,-114.0778851,3324.0,35780.0,306000
2335 162 AV SW,BRI,BRIDLEWOOD,NR,Non-residential,2003,LI,50.9049547,-114.1106524,42600.0,458558.0,37250000
113 SKYVIEW SHORES MR NE,SKR,SKYVIEW RANCH,RE,Residential,2011,LI,51.1561147,-113.9633115,352.6,3795.0,680000
23 COVENTRY VW NE,COV,COVENTRY HILLS,RE,Residential,2000,LI,51.1624957,-114.0528407,315.0,3391.0,482000
10182 46 ST NE,SAD,SADDLE RIDGE,RE,Residential,2021,LI,51.1383954,-113.9654963,323.1,3478.0,789000
208 40 PARKRIDGE VW SE,PKL,PARKLAND,RE,Residential,2001,LI,50.9191496,-114.0235291,6180.0,66521.0,409500
2 459 HUNTSVILLE CR NW,HUN,HUNTINGTON HILLS,RE,Residential,1971,LI,51.1140648,-114.0690286,2133.3,22963.0,266000
128 SILVERCREEK CR NW,SIL,SILVER SPRINGS,RE,Residential,1975,LI,51.1124528,-114.2092435,584.1,6288.0,680000
55 SILVER RIDGE RI NW,SIL,SILVER SPRINGS,RE,Residential,1977,LI,51.1120617,-114.1974464,516.1,5555.0,831000
1827 29 AV SW,SOC,SOUTH CALGARY,RE,Residential,1998,LI,51.0272455,-114.1036348,289.4,3115.0,897000
1913 48 AV SW,ALT,ALTADORE,RE,Residential,2018,LI,51.0105317,-114.1041497,284.1,3058.0,1280000
59 LANGTON DR SW,NGM,NORTH GLENMORE PARK,RE,Residential,1959,LI,51.0022224,-114.115274,602.3,6484.0,832500
305 EVERGLEN RI SW,EVE,EVERGREEN,RE,Residential,2006,LI,50.9114415,-114.1239141,295.6,3182.0,559500
711 DEERCROFT WY SE,DRN,DEER RUN,RE,Residential,1979,LI,50.9206321,-114.0008014,531.3,5719.0,580500
142 TUSCANY MEADOWS HT NW,TUS,TUSCANY,RE,Residential,2000,LI,51.1173386,-114.2368439,787.1,8472.0,1020000
143 ARBOUR LAKE HT NW,ARB,ARBOUR LAKE,RE,Residential,2022,LI,51.1315391,-114.2117177,339.2,3651.0,1040000
127 EDGERIDGE PA NW,EDG,EDGEMONT,RE,Residential,2000,LI,51.1371788,-114.1402655,485.4,5225.0,1120000
20 AUTUMN CO SE,AUB,AUBURN BAY,RE,Residential,2010,LI,50.8957867,-113.9722723,351.2,3780.0,629500
2712 LIONEL CR SW,LKV,LAKEVIEW,RE,Residential,1961,LI,50.9968889,-114.1210222,487.6,5249.0,820000
89 COVENTRY WY NE,COV,COVENTRY HILLS,RE,Residential,2000,LI,51.1624474,-114.0507913,394.0,4241.0,527500
41 ABERDARE RD NE,ABB,ABBEYDALE,RE,Residential,1980,LI,51.0552837,-113.925364,292.6,3150.0,483000
164 DEERSAXON CI SE,DRN,DEER RUN,RE,Residential,1986,LI,50.9193058,-114.0186923,564.8,6080.0,594000
512V 2330 FISH CREEK BV SW,EVE,EVERGREEN,RE,Residential,2015,LI,50.9217782,-114.115044,9041.0,97320.0,10000
41 MARTINVALLEY RD NE,MRT,MARTINDALE,RE,Residential,2001,LI,51.1227052,-113.9534373,296.2,3188.0,558500
75 SCHUBERT HL NW,SCE,SCENIC ACRES,RE,Residential,1991,LI,51.1265499,-114.2226891,536.9,5780.0,832500
140 DEERFIELD TC SE,DRG,DEER RIDGE,RE,Residential,1982,LI,50.9228906,-114.0174868,23390.2,251770.0,335000
1 1924 25 ST SW,RIC,RICHMOND,RE,Residential,1994,LI,51.0370438,-114.1201522,580.6,6250.0,459500
13005 6 ST SW,CAN,CANYON MEADOWS,RE,Residential,1976,LI,50.9367317,-114.0758919,14002.1,150717.0,408000
11 EDCATH RD NW,EDG,EDGEMONT,RE,Residential,1985,LI,51.1215044,-114.1414056,573.1,6169.0,930000
402 32 VARSITY ESTATES CI NW,VAR,VARSITY,RE,Residential,2014,LI,51.1031614,-114.1628632,2697.8,29040.0,632000
12435 LAKE FRASER WY SE,LKB,LAKE BONAVISTA,RE,Residential,1973,LI,50.9405751,-114.0667332,510.8,5499.0,1290000
105 100 AUBURN MEADOWS CM SE,AUB,AUBURN BAY,RE,Residential,2017,LI,50.8930829,-113.9448833,2465.3,26537.0,443500
2743 MORLEY TR NW,BNF,BANFF TRAIL,RE,Residential,1954,LI,51.0777283,-114.11255,618.2,6654.0,757500
300V 70 PANAMOUNT DR NW,PAN,PANORAMA HILLS,RE,Residential,2003,LI,51.1590516,-114.0720216,2973.7,32010.0,10000
139 SETON RI SE,SET,SETON,RE,Residential,2018,LI,50.867634,-113.9600605,396.0,4263.0,886500
20 HIDDEN CREEK TC NW,HID,HIDDEN VALLEY,RE,Residential,2001,LI,51.1591443,-114.0963538,487.0,5242.0,709000
23V 930 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,RE,Residential,2013,LI,51.0481,-114.082779,1810.0,19483.0,37000
603V 4150 SETON DR SE,SET,SETON,RE,Residential,2018,LI,50.8770365,-113.9516262,5005.6,53882.0,10000
